% The Solar-SPAM model = based on TIMED SEE data from 22.01.2002 to 24.11.2016 :  
% F(f) = p1*f^2 + p2*f + p3 
% F - photon energy flux,  [W m^-2 nm^-1]
% f == f107 - measured solar radio flux at 10.7 cm,  [10^-22 W m^-2]

%lambda  p1              p2              p3              CC    RMSE            I_aver           std         
46.5     7.14925370e-11  2.28505089e-08  1.60620921e-05  0.85  7.85818717e-07  1.92777724e-05  1.47361243e-06 
47.5    -1.65354143e-10  7.61012429e-08  3.10560608e-06  0.95  3.96736808e-07  9.06306120e-06  1.25435466e-06 
48.5    -3.12973348e-10  1.39150026e-07  3.17305408e-06  0.95  6.77782659e-07  1.39410213e-05  2.20708817e-06 
49.5    -8.48676578e-10  3.82780831e-07 -8.99955570e-06  0.95  1.84750385e-06  2.07659807e-05  6.14904796e-06 
50.5    -6.92148698e-10  3.05273387e-07 -2.21022224e-06  0.95  1.42588987e-06  2.13478297e-05  4.78619795e-06 
51.5    -3.52451773e-10  1.49567940e-07 -2.77810793e-06  0.95  6.67205223e-07  8.60703330e-06  2.24575928e-06 
52.5    -4.88285423e-10  2.06597500e-07 -5.71616451e-06  0.95  9.23676788e-07  9.99305327e-06  3.09295643e-06 
53.5    -1.51950475e-10  6.22135728e-08  4.00946070e-06  0.92  3.69972956e-07  8.68219921e-06  9.31048031e-07 
54.5    -1.47270077e-10  5.88009296e-08  1.18884773e-06  0.95  2.61720547e-07  5.56222342e-06  8.24609892e-07 
55.5    -2.67639507e-10  9.72464276e-08  2.22162082e-05  0.63  1.37799232e-06  2.91653732e-05  1.77993425e-06 
56.5    -1.01960607e-10  4.67610258e-08  3.41494514e-06  0.93  2.80937628e-07  7.07134199e-06  7.80920103e-07 
57.5    -1.61974440e-10  6.72143036e-08  1.17127082e-06  0.95  3.07827728e-07  6.24539699e-06  9.87629487e-07 
58.5    -1.01763203e-09  4.54759489e-07  1.65241671e-05  0.91  3.09599754e-06  5.17765048e-05  7.56387751e-06 
59.5    -1.56307209e-10  6.36007172e-08  3.86630485e-06  0.92  3.58530411e-07  8.63181843e-06  9.37884894e-07 
60.5    -6.00806861e-10  2.63372194e-07  5.64617215e-07  0.94  1.45080898e-06  2.08460181e-05  4.17594711e-06 
61.5    -6.04959878e-10  2.45041951e-07 -1.62883930e-06  0.94  1.21428067e-06  1.66995800e-05  3.53501944e-06 
62.5    -6.49554222e-10  2.79301792e-07  1.91126658e-05  0.89  2.08911118e-06  4.04745971e-05  4.57033940e-06 
63.5    -4.82850036e-10  1.71382019e-07  2.02470800e-05  0.75  1.67842699e-06  3.23622874e-05  2.54252816e-06 
64.5    -1.06653492e-10  4.22914685e-08  1.50553273e-06  0.94  2.03369385e-07  4.64237669e-06  5.93258817e-07 
65.5    -8.18714565e-11  3.40516816e-08  1.66550540e-06  0.94  1.76539694e-07  4.23832939e-06  5.08370351e-07 
66.5    -9.90389288e-11  4.04518744e-08  1.56394010e-06  0.94  1.96591466e-07  4.59938255e-06  5.87713968e-07 
67.5    -9.41472141e-11  3.78395774e-08  8.82049866e-07  0.94  1.80481835e-07  3.70375496e-06  5.38704384e-07 
68.5    -8.29145674e-11  3.45290364e-08  5.19960242e-06  0.82  3.44043640e-07  7.80972575e-06  5.93915168e-07 
69.5    -1.37956080e-10  5.60239688e-08  1.65024766e-06  0.94  2.65869617e-07  5.84486892e-06  8.06603344e-07 
70.5    -1.01440668e-10  4.37751602e-08  9.44754103e-06  0.79  4.90083335e-07  1.27999032e-05  8.05797248e-07 
71.5    -8.82187053e-11  3.44490090e-08  2.44945919e-06  0.92  1.89763276e-07  4.98879527e-06  4.83419304e-07 
72.5    -1.38052514e-10  5.94292750e-08  4.19292916e-07  0.95  2.87817244e-07  4.96650670e-06  9.12641269e-07 
73.5    -4.91176916e-11  2.32864269e-08  1.44437460e-06  0.94  1.39806401e-07  3.28473841e-06  3.99881515e-07 
74.5    -6.46953103e-11  2.83325477e-08  2.59377737e-06  0.93  1.66218244e-07  4.77483049e-06  4.52442015e-07 
75.5    -7.34309741e-11  3.29461087e-08  4.00460892e-06  0.90  2.45820894e-07  6.56200636e-06  5.59004853e-07 
76.5    -3.05657856e-11  2.93068006e-08  1.40723930e-05  0.74  6.32637967e-07  1.67566391e-05  9.41485344e-07 
77.5     5.43557600e-11  2.19484499e-08  1.18134495e-05  0.89  5.64382540e-07  1.47335837e-05  1.22869976e-06 
78.5    -8.51779066e-11  5.79401798e-08  1.63692915e-05  0.82  8.43951888e-07  2.13846038e-05  1.46588306e-06 
79.5    -2.21722606e-10  8.88851417e-08  8.27783879e-06  0.89  6.07167204e-07  1.48992983e-05  1.33440333e-06 
80.5    -1.65576278e-10  7.79627572e-08  5.66367756e-06  0.94  4.44114376e-07  1.18118823e-05  1.32302667e-06 
81.5    -1.92487027e-10  8.70304770e-08  5.81788594e-06  0.93  5.12896384e-07  1.25910398e-05  1.43182103e-06 
82.5    -2.51845067e-10  1.14456368e-07  6.30086163e-06  0.94  6.49515749e-07  1.52237537e-05  1.88287975e-06 
83.5    -4.38140196e-10  1.97591643e-07  1.99037756e-05  0.90  1.48395770e-06  3.52681357e-05  3.37120613e-06 
84.5    -3.73488547e-10  1.70436208e-07  8.14608828e-06  0.94  9.68131273e-07  2.14511543e-05  2.81432117e-06 
85.5    -4.33366783e-10  2.09399580e-07  9.28690005e-06  0.94  1.21724813e-06  2.59340404e-05  3.63794345e-06 
